Name,Text,Translation
Mejiro McQueen,"Ugh, why isn't there even a single taker?! Don't they <i>know</i> who's
soliciting them?!","Ugh, por que não há sequer uma interessada?! Elas não *sabem* quem está fazendo o convite?!"
<username>,"Well, consider the optics. This is a team run by a newbie trainer that
just lost all its members.","Bem, considere a imagem. Esta é uma equipe dirigida por um treinador novato que acabou de perder todos os seus membros."
<username>,"Well, consider the optics. This is a team run by a newbie trainer that
just lost all its members.","Bem, considere a imagem. Esta é uma equipe dirigida por um treinador novato que acabou de perder todos os seus membros."
Mejiro McQueen,"How do you even have time for that kind of logical thinking?! You
should be more worried!",Como você ainda tem tempo para esse tipo de raciocínio lógico?! Você deveria estar mais preocupado!
<username>,I'm just as worried as you are.,Estou tão preocupado quanto você.
<username>,I'm just as worried as you are.,Estou tão preocupado quanto você.
Monólogo,The old man trusted me to take care of his team. I can't let him down.,O velho confiou em mim para cuidar da equipe dele. Não posso decepcioná-lo.
Monólogo,The old man trusted me to take care of his team. I can't let him down.,O velho confiou em mim para cuidar da equipe dele. Não posso decepcioná-lo.
Monólogo,"But as it stands, I don't think these methods will get us any shiny-eyed
new recruits.","Mas, do jeito que as coisas estão, não acho que esses métodos nos trarão novas recrutas entusiasmadas."
Monólogo,"We need a new strategy. We need to focus on making this a team that
anyone would want to join.",Precisamos de uma nova estratégia. Precisamos nos concentrar em tornar esta uma equipe na qual qualquer uma queira entrar.
<username>,"At any rate, why don't we give our minds a break for now and get
some training in?","De qualquer forma, por que não descansamos a mente por enquanto e fazemos um pouco de treinamento?"
<username>,"At any rate, why don't we give our minds a break for now and get
some training in?","De qualquer forma, por que não descansamos a mente por enquanto e fazemos um pouco de treinamento?"
Mejiro McQueen,I... suppose you're right.,Eu... suponho que você esteja certo.
Mejiro McQueen,"We can't let this occupy all of our time when we have races to win.
...I'll go get ready.",Não podemos deixar que isso ocupe todo o nosso tempo quando temos corridas para vencer. ...Vou me preparar.
Monólogo,Our first goal is to win the spring Tenno Sho at the end of April.,Nosso primeiro objetivo é vencer o Tenno Sho da primavera no final de abril.
Monólogo,Our first goal is to win the spring Tenno Sho at the end of April.,Nosso primeiro objetivo é vencer o Tenno Sho da primavera no final de abril.
Monólogo,"The 3,200 meter race will be a serious test of endurance. I decide to
work on improving her form to draw out her best performance.",A corrida de 3.200 metros será um teste sério de vigor. Decido trabalhar para melhorar a forma dela para extrair seu melhor desempenho.
Monólogo,"The 3,200 meter race will be a serious test of endurance. I decide to
work on improving her form to draw out her best performance.",A corrida de 3.200 metros será um teste sério de vigor. Decido trabalhar para melhorar a forma dela para extrair seu melhor desempenho.
Mejiro McQueen,"<i>Pant, pant, pant...</i>","<i>Arf, arf, arf...</i>"
<username>,"Coming out of that corner, try to shift more energy into your left leg.
Imagine kicking away the ground with your left foot.","Saindo daquela curva, tente transferir mais energia para a sua perna esquerda. Imagine-se chutando o chão com o pé esquerdo."
Mejiro McQueen,"Okay, understood.","Certo, compreendido."
<username>,Focus on that for another three laps. We'll call it a day after that.,Concentre-se nisso por mais três voltas. Encerraremos o dia depois disso.
<username>,Focus on that for another three laps. We'll call it a day after that.,Concentre-se nisso por mais três voltas. Encerraremos o dia depois disso.
Mejiro McQueen,Only three more laps?,Apenas mais três voltas?
<username>,"You're still not used to this form, so we need to be careful not to
strain your legs.","Você ainda não está acostumada com esta forma, então precisamos ter cuidado para não sobrecarregar suas pernas."
<username>,"You're still not used to this form, so we need to be careful not to
strain your legs.","Você ainda não está acostumada com esta forma, então precisamos ter cuidado para não sobrecarregar suas pernas."
Mejiro McQueen,"Yes, I see how that could be a concern.","Sim, vejo como isso pode ser uma preocupação."
<username>,"Let me know if you have any objections, okay? I don't want to force
you to do things you disagree with.","Diga-me se tiver alguma objeção, está bem? Não quero forçá-la a fazer coisas com as quais você não concorda."
<username>,"Let me know if you have any objections, okay? I don't want to force
you to do things you disagree with.","Diga-me se tiver alguma objeção, está bem? Não quero forçá-la a fazer coisas com as quais você não concorda."
Mejiro McQueen,"Oh no, your reasoning is sound. I have no qualms with your judgment.","Oh, não, seu raciocínio é sólido. Não tenho ressalvas quanto ao seu julgamento."
Monólogo,"Speaking as if to reassure me, Mejiro McQueen takes to the track
once more.","Falando como se quisesse me tranquilizar, Mejiro McQueen volta para a pista mais uma vez."
Monólogo,"Despite it all, I still sense a tinge of dissatisfaction.","Apesar de tudo, ainda sinto um leve tom de insatisfação."
<username>,She doesn't seem that convinced...,Ela não parece tão convencida...
Monólogo,"Is my instruction what's lacking, or is it just a matter of building trust?","É a minha instrução que está faltando, ou é apenas uma questão de construir confiança?"
Monólogo,"And we still have recruiting to worry about. This has turned into some
ordeal...",E ainda temos o recrutamento com que nos preocupar. Isso se tornou um verdadeiro suplício...
Monólogo,"And we still have recruiting to worry about. This has turned into some
ordeal...",E ainda temos o recrutamento com que nos preocupar. Isso se tornou um verdadeiro suplício...
Monólogo,"I give myself a good slap on the cheeks and shift my gaze back to
McQueen.",Dou um bom tapa nas minhas próprias bochechas e volto meu olhar para McQueen.
